Move [0 - ROBO]: White Pawn (1, 3) --> (3, 3)
Move [1 - MAQUINA]: Black Pawn (6, 0) --> (4, 0)
Move [2 - ROBO]: White Bishop (0, 2) --> (3, 5)
Move [3 - MAQUINA]: Black Pawn (6, 5) --> (4, 5)
Move [4 - ROBO]: White Bishop (3, 5) --> (6, 2) eaten Black Pawn
Move [5 - MAQUINA]: Black Pawn (6, 6) --> (4, 6)
Move [6 - ROBO]: White Bishop (6, 2) --> (7, 3) eaten Black Queen
Move [7 - MAQUINA]: Black Horse (7, 6) --> (5, 7)
Move [8 - ROBO]: White Pawn (1, 4) --> (3, 4)
Move [9 - MAQUINA]: Black Horse (7, 1) --> (5, 0)
Move [10 - ROBO]: White Bishop (0, 5) --> (5, 0) eaten Black Horse
Move [11 - MAQUINA]: Black King (7, 4) --> (7, 3) eaten White Bishop
Move [12 - ROBO]: White Bishop (5, 0) --> (6, 1) eaten Black Pawn
Move [13 - MAQUINA]: Black Tower (7, 0) --> (6, 0)
Move [14 - ROBO]: White Bishop (6, 1) --> (7, 2) eaten Black Bishop
Move [15 - MAQUINA]: Black Horse (5, 7) --> (7, 6)
Move [16 - ROBO]: White Bishop (7, 2) --> (6, 3) eaten Black Pawn
Move [17 - MAQUINA]: Black King (7, 3) --> (6, 3) eaten White Bishop
Move [18 - ROBO]: White Horse (0, 6) --> (2, 5)
Move [19 - MAQUINA]: Black King (6, 3) --> (7, 3)
Move [20 - ROBO]: White Horse (2, 5) --> (4, 6) eaten Black Pawn
Move [21 - MAQUINA]: Black Tower (6, 0) --> (6, 1)
Move [22 - ROBO]: White Horse (4, 6) --> (6, 7) eaten Black Pawn
Move [23 - MAQUINA]: Black Tower (7, 7) --> (6, 7) eaten White Horse
Move [24 - ROBO]: White Pawn (3, 4) --> (4, 5) eaten Black Pawn
Move [25 - MAQUINA]: Black Tower (6, 1) --> (6, 2)
Move [26 - ROBO]: White Horse (0, 1) --> (1, 3)
Move [27 - MAQUINA]: Black Pawn (6, 4) --> (4, 4)
Move [28 - ROBO]: White Pawn (3, 3) --> (4, 4) eaten Black Pawn
Move [29 - MAQUINA]: Black King (7, 3) --> (6, 3)
Move [30 - ROBO]: White Pawn (4, 4) --> (5, 4)
Move [31 - MAQUINA]: Black Tower (6, 7) --> (2, 7)
Move [32 - ROBO]: White Tower (0, 0) --> (0, 1)
Move [33 - MAQUINA]: Black Tower (2, 7) --> (5, 7)
Move [34 - ROBO]: White Tower (0, 1) --> (0, 2)
Move [35 - MAQUINA]: Black Tower (5, 7) --> (5, 4) eaten White Pawn
Move [36 - ROBO]: White Tower (0, 2) --> (0, 1)
Move [37 - MAQUINA]: Black Tower (6, 2) --> (5, 2)
Move [38 - ROBO]: White Tower (0, 1) --> (0, 2)
Move [39 - MAQUINA]: Black Bishop (7, 5) --> (5, 3)
Move [40 - ROBO]: White Pawn (4, 5) --> (5, 4) eaten Black Tower
Move [41 - MAQUINA]: Black Bishop (5, 3) --> (6, 4)
Move [42 - ROBO]: White Tower (0, 2) --> (0, 1)
Move [43 - MAQUINA]: Black King (6, 3) --> (7, 3)
Move [44 - ROBO]: White Horse (1, 3) --> (2, 1)
Move [45 - MAQUINA]: Black Tower (5, 2) --> (5, 0)
Move [46 - ROBO]: White Queen (0, 3) --> (2, 3)
Move [47 - MAQUINA]: Black King (7, 3) --> (7, 4)
Move [48 - ROBO]: White Queen (2, 3) --> (5, 0) eaten Black Tower
Move [49 - MAQUINA]: Black Bishop (6, 4) --> (7, 3)
Move [50 - ROBO]: White Queen (5, 0) --> (4, 0) eaten Black Pawn
Move [51 - MAQUINA]: Black Horse (7, 6) --> (5, 7)
Timeout by 0 - ROBO: White. Player 1 - MAQUINA: Black wins. Game finished. 
