Move [0 - Client]: White Horse (0, 1) --> (2, 2)
Move [1 - Random]: Black Horse (7, 6) --> (5, 5)
Move [2 - Client]: White Horse (0, 6) --> (2, 5)
Move [3 - Random]: Black Pawn (6, 7) --> (5, 7)
Move [4 - Client]: White Pawn (1, 3) --> (3, 3)
Move [5 - Random]: Black Pawn (6, 0) --> (5, 0)
Move [6 - Client]: White Bishop (0, 2) --> (5, 7) eaten Black Pawn
Move [7 - Random]: Black Tower (7, 7) --> (5, 7) eaten White Bishop
Move [8 - Client]: White Pawn (1, 4) --> (3, 4)
Move [9 - Random]: Black Horse (5, 5) --> (3, 6)
Move [10 - Client]: White Bishop (0, 5) --> (5, 0) eaten Black Pawn
Move [11 - Random]: Black Tower (5, 7) --> (5, 4)
Move [12 - Client]: White Bishop (5, 0) --> (6, 1) eaten Black Pawn
Move [13 - Random]: Black Tower (7, 0) --> (2, 0)
Move [14 - Client]: White Pawn (1, 1) --> (2, 0) eaten Black Tower
Move [15 - Random]: Black Pawn (6, 3) --> (5, 3)
Move [16 - Client]: White Bishop (6, 1) --> (7, 2) eaten Black Bishop
Move [17 - Random]: Black Horse (7, 1) --> (6, 3)
Move [18 - Client]: White King (0, 4) --> (1, 4)
Move [19 - Random]: Black Horse (3, 6) --> (1, 7) eaten White Pawn
Move [20 - Client]: White Tower (0, 7) --> (1, 7) eaten Black Horse
Move [21 - Random]: Black Horse (6, 3) --> (4, 2)
Move [22 - Client]: White Bishop (7, 2) --> (5, 4) eaten Black Tower
Move [23 - Random]: Black Queen (7, 3) --> (7, 1)
Move [24 - Client]: White Pawn (3, 3) --> (4, 2) eaten Black Horse
Move [25 - Random]: Black King (7, 4) --> (7, 3)
Move [26 - Client]: White Pawn (4, 2) --> (5, 3) eaten Black Pawn
Move [27 - Random]: Black Queen (7, 1) --> (7, 2)
Move [28 - Client]: White Bishop (5, 4) --> (7, 2) eaten Black Queen
Move [29 - Random]: Black Pawn (6, 2) --> (5, 2)
Move [30 - Client]: White King (1, 4) --> (2, 4)
Move [31 - Random]: Black Pawn (6, 6) --> (4, 6)
Move [32 - Client]: White Horse (2, 5) --> (4, 6) eaten Black Pawn
Move [33 - Random]: Black Pawn (6, 5) --> (4, 5)
Move [34 - Client]: White Bishop (7, 2) --> (4, 5) eaten Black Pawn
