Move [0 - Client]: White Horse (0, 1) --> (2, 2)
Move [1 - Random]: Black Pawn (6, 2) --> (5, 2)
Move [2 - Client]: White Horse (0, 6) --> (2, 5)
Move [3 - Random]: Black Queen (7, 3) --> (5, 1)
Move [4 - Client]: White Pawn (1, 3) --> (3, 3)
Move [5 - Random]: Black Horse (7, 6) --> (5, 5)
Move [6 - Client]: White Bishop (0, 2) --> (2, 4)
Move [7 - Random]: Black Queen (5, 1) --> (7, 3)
Move [8 - Client]: White Pawn (1, 4) --> (3, 4)
Move [9 - Random]: Black Horse (5, 5) --> (3, 4) eaten White Pawn
Move [10 - Client]: White Horse (2, 2) --> (3, 4) eaten Black Horse
Move [11 - Random]: Black Queen (7, 3) --> (4, 0)
Move [12 - Client]: White Bishop (0, 5) --> (2, 3)
Move [13 - Random]: Black Queen (4, 0) --> (2, 2)
Move [14 - Client]: White Horse (3, 4) --> (2, 2) eaten Black Queen
Move [15 - Random]: Black Pawn (6, 3) --> (5, 3)
Move [16 - Client]: White Bishop (2, 3) --> (6, 7) eaten Black Pawn
Move [17 - Random]: Black King (7, 4) --> (7, 3)
Move [18 - Client]: White King (0, 4) --> (1, 4)
Move [19 - Random]: Black King (7, 3) --> (6, 2)
Move [20 - Client]: White King (1, 4) --> (2, 3)
Move [21 - Random]: Black Pawn (6, 0) --> (5, 0)
Move [22 - Client]: White Bishop (6, 7) --> (3, 4)
Move [23 - Random]: Black Tower (7, 0) --> (6, 0)
Move [24 - Client]: White Bishop (3, 4) --> (5, 2) eaten Black Pawn
Move [25 - Random]: Black Tower (7, 7) --> (4, 7)
Move [26 - Client]: White Bishop (5, 2) --> (6, 1) eaten Black Pawn
Move [27 - Random]: Black Bishop (7, 2) --> (5, 4)
Move [28 - Client]: White Bishop (6, 1) --> (5, 0) eaten Black Pawn
Move [29 - Random]: Black Pawn (6, 6) --> (4, 6)
Move [30 - Client]: White Bishop (2, 4) --> (4, 6) eaten Black Pawn
Move [31 - Random]: Black King (6, 2) --> (5, 1)
Move [32 - Client]: White Bishop (4, 6) --> (6, 4) eaten Black Pawn
Move [33 - Random]: Black King (5, 1) --> (4, 2)
Move [34 - Client]: White Pawn (3, 3) --> (4, 3)
Move [35 - Random]: Black Tower (4, 7) --> (6, 7)
Move [36 - Client]: White Pawn (4, 3) --> (5, 4) eaten Black Bishop
Move [37 - Random]: Black Tower (6, 7) --> (3, 7)
Move [38 - Client]: White Bishop (6, 4) --> (3, 7) eaten Black Tower
Move [39 - Random]: Black King (4, 2) --> (5, 2)
Move [40 - Client]: White Pawn (5, 4) --> (6, 5) eaten Black Pawn
Move [41 - Random]: Black King (5, 2) --> (5, 1)
Move [42 - Client]: White Bishop (3, 7) --> (2, 6)
