Move [0 - Client]: White Horse (0, 1) --> (2, 2)
Move [1 - Random]: Black Pawn (6, 3) --> (4, 3)
Move [2 - Client]: White Horse (2, 2) --> (4, 3) eaten Black Pawn
Move [3 - Random]: Black Pawn (6, 4) --> (4, 4)
Move [4 - Client]: White Horse (4, 3) --> (5, 5)
Move [5 - Random]: Black Pawn (6, 2) --> (5, 2)
Move [6 - Client]: White Tower (0, 0) --> (0, 1)
Move [7 - Random]: Black Bishop (7, 2) --> (5, 4)
Move [8 - Client]: White Tower (0, 1) --> (0, 0)
Move [9 - Random]: Black Queen (7, 3) --> (1, 3) eaten White Pawn
Move [10 - Client]: White Tower (0, 0) --> (0, 1)
Move [11 - Random]: Black Queen (1, 3) --> (2, 4)
Move [12 - Client]: White Tower (0, 1) --> (0, 0)
Move [13 - Random]: Black Queen (2, 4) --> (2, 5)
Move [14 - Client]: White Tower (0, 0) --> (0, 1)
Move [15 - Random]: Black Bishop (5, 4) --> (7, 2)
Move [16 - Client]: White Tower (0, 1) --> (0, 0)
Move [17 - Random]: Black Pawn (6, 6) --> (4, 6)
Move [18 - Client]: White Tower (0, 0) --> (0, 1)
Move [19 - Random]: Black Horse (7, 1) --> (6, 3)
Move [20 - Client]: White Tower (0, 1) --> (0, 0)
Move [21 - Random]: Black Horse (7, 6) --> (5, 7)
Move [22 - Client]: White Tower (0, 0) --> (0, 1)
Move [23 - Random]: Black Bishop (7, 5) --> (2, 0)
Move [24 - Client]: White Tower (0, 1) --> (0, 0)
Move [25 - Random]: Black Pawn (6, 7) --> (4, 7)
Move [26 - Client]: White Tower (0, 0) --> (0, 1)
Move [27 - Random]: Black Queen (2, 5) --> (3, 4)
Move [28 - Client]: White Tower (0, 1) --> (0, 0)
Move [29 - Random]: Black Tower (7, 7) --> (6, 7)
Move [30 - Client]: White Tower (0, 0) --> (0, 1)
Move [31 - Random]: Black Bishop (2, 0) --> (7, 5)
Move [32 - Client]: White Tower (0, 1) --> (0, 0)
Move [33 - Random]: Black Queen (3, 4) --> (1, 2) eaten White Pawn
Move [34 - Client]: White Tower (0, 0) --> (0, 1)
Move [35 - Random]: Black Pawn (4, 6) --> (3, 6)
Move [36 - Client]: White Tower (0, 1) --> (0, 0)
Move [37 - Random]: Black Pawn (6, 0) --> (5, 0)
Move [38 - Client]: White Tower (0, 0) --> (0, 1)
Move [39 - Random]: Black Queen (1, 2) --> (2, 3)
Move [40 - Client]: White Tower (0, 1) --> (0, 0)
Move [41 - Random]: Black Queen (2, 3) --> (5, 3)
Move [42 - Client]: White Tower (0, 0) --> (0, 1)
Move [43 - Random]: Black Pawn (6, 5) --> (4, 5)
Move [44 - Client]: White Tower (0, 1) --> (0, 0)
Move [45 - Random]: Black Bishop (7, 5) --> (6, 4)
Move [46 - Client]: White Tower (0, 0) --> (0, 1)
Move [47 - Random]: Black Queen (5, 3) --> (1, 3)
Move [48 - Client]: White Tower (0, 1) --> (0, 0)
Move [49 - Random]: Black Queen (1, 3) --> (3, 5)
Move [50 - Client]: White Tower (0, 0) --> (0, 1)
