Move [0 - Client]: White Horse (0, 1) --> (2, 2)
Move [1 - Random]: Black Pawn (6, 6) --> (4, 6)
Move [2 - Client]: White Horse (0, 6) --> (2, 5)
Move [3 - Random]: Black Pawn (6, 4) --> (5, 4)
Move [4 - Client]: White Horse (2, 5) --> (4, 6) eaten Black Pawn
Move [5 - Random]: Black Horse (7, 6) --> (5, 7)
Move [6 - Client]: White Horse (4, 6) --> (5, 4) eaten Black Pawn
Move [7 - Random]: Black Pawn (6, 2) --> (5, 2)
Move [8 - Client]: White Horse (5, 4) --> (7, 3) eaten Black Queen
Move [9 - Random]: Black Pawn (6, 3) --> (4, 3)
Move [10 - Client]: White Horse (7, 3) --> (6, 5) eaten Black Pawn
Move [11 - Random]: Black Horse (7, 1) --> (5, 0)
Move [12 - Client]: White Horse (6, 5) --> (7, 7) eaten Black Tower
Move [13 - Random]: Black Bishop (7, 2) --> (6, 3)
Move [14 - Client]: White Horse (2, 2) --> (4, 3) eaten Black Pawn
Move [15 - Random]: Black King (7, 4) --> (7, 3)
Move [16 - Client]: White Horse (7, 7) --> (5, 6)
Move [17 - Random]: Black Pawn (6, 1) --> (5, 1)
Move [18 - Client]: White Horse (5, 6) --> (7, 5) eaten Black Bishop
Move [19 - Random]: Black Horse (5, 0) --> (4, 2)
Move [20 - Client]: White Horse (7, 5) --> (6, 3) eaten Black Bishop
Move [21 - Random]: Black Horse (4, 2) --> (5, 0)
Move [22 - Client]: White Horse (6, 3) --> (5, 1) eaten Black Pawn
Move [23 - Random]: Black Horse (5, 7) --> (4, 5)
Move [24 - Client]: White Horse (5, 1) --> (7, 0) eaten Black Tower
Move [25 - Random]: Black Pawn (5, 2) --> (4, 2)
Move [26 - Client]: White Horse (7, 0) --> (5, 1)
Move [27 - Random]: Black Pawn (4, 2) --> (3, 2)
Move [28 - Client]: White Horse (5, 1) --> (3, 2) eaten Black Pawn
Move [29 - Random]: Black King (7, 3) --> (6, 3)
Move [30 - Client]: White Pawn (1, 3) --> (3, 3)
Move [31 - Random]: Black King (6, 3) --> (6, 2)
Move [32 - Client]: White Horse (4, 3) --> (2, 4)
Move [33 - Random]: Black Pawn (6, 0) --> (4, 0)
Move [34 - Client]: White Horse (2, 4) --> (4, 5) eaten Black Horse
Move [35 - Random]: Black King (6, 2) --> (7, 3)
Move [36 - Client]: White Horse (3, 2) --> (4, 0) eaten Black Pawn
Move [37 - Random]: Black Horse (5, 0) --> (6, 2)
Move [38 - Client]: White Bishop (0, 2) --> (2, 4)
Move [39 - Random]: Black King (7, 3) --> (7, 4)
Move [40 - Client]: White Pawn (1, 4) --> (3, 4)
Move [41 - Random]: Black King (7, 4) --> (7, 3)
Move [42 - Client]: White Bishop (0, 5) --> (2, 3)
Move [43 - Random]: Black King (7, 3) --> (7, 4)
Move [44 - Client]: White Horse (4, 0) --> (3, 2)
Move [45 - Random]: Black King (7, 4) --> (7, 5)
Move [46 - Client]: White King (0, 4) --> (1, 4)
Move [47 - Random]: Black Horse (6, 2) --> (4, 3)
Move [48 - Client]: White Pawn (3, 4) --> (4, 3) eaten Black Horse
Move [49 - Random]: Black King (7, 5) --> (7, 6)
Move [50 - Client]: White King (1, 4) --> (2, 5)
Move [51 - Random]: Black King (7, 6) --> (7, 7)
Move [52 - Client]: White King (2, 5) --> (3, 4)
Move [53 - Random]: Black King (7, 7) --> (7, 6)
Move [54 - Client]: White Tower (0, 0) --> (0, 1)
Move [55 - Random]: Black King (7, 6) --> (7, 5)
Move [56 - Client]: White Queen (0, 3) --> (2, 5)
Move [57 - Random]: Black King (7, 5) --> (6, 6)
Move [58 - Client]: White Horse (4, 5) --> (5, 3)
Move [59 - Random]: Black Pawn (6, 7) --> (5, 7)
Move [60 - Client]: White Horse (3, 2) --> (4, 4)
Move [61 - Random]: Black King (6, 6) --> (5, 6)
Move [62 - Client]: White Horse (4, 4) --> (3, 2)
Move [63 - Random]: Black King (5, 6) --> (4, 5)
Timeout by 0 - Client: White. Player 1 - Random: Black wins. Game finished. 
