Move [105 - Random]: Black Tower (6, 4) --> (7, 4)
Move [106 - Client]: White Tower (1, 1) --> (0, 1)
Move [107 - Random]: Black King (4, 7) --> (5, 7)
Move [108 - Client]: White Tower (0, 1) --> (2, 1) eaten Black Queen
Move [109 - Random]: Black King (5, 7) --> (4, 7)
Move [110 - Client]: White Tower (2, 1) --> (1, 1)
Move [111 - Random]: Black Tower (7, 4) --> (7, 5)
Move [112 - Client]: White Tower (1, 1) --> (0, 1)
Move [113 - Random]: Black Pawn (4, 2) --> (3, 2)
Move [114 - Client]: White Tower (0, 1) --> (1, 1)
Move [115 - Random]: Black Tower (7, 5) --> (7, 2)
Move [116 - Client]: White Tower (1, 1) --> (0, 1)
Move [117 - Random]: Black Tower (7, 2) --> (6, 2)
Move [118 - Client]: White Tower (0, 1) --> (1, 1)
Move [119 - Random]: Black Tower (6, 2) --> (7, 2)
Move [120 - Client]: White Tower (1, 1) --> (0, 1)
Move [121 - Random]: Black Tower (7, 2) --> (4, 2)
Move [122 - Client]: White Tower (0, 1) --> (1, 1)
Move [123 - Random]: Black Pawn (2, 7) --> (1, 6) eaten White Pawn
Move [124 - Client]: White Tower (1, 1) --> (0, 1)
Move [125 - Random]: Black King (4, 7) --> (5, 7)
Move [126 - Client]: White Tower (0, 1) --> (5, 1)
Move [127 - Random]: Black Pawn (3, 0) --> (2, 0)
Move [128 - Client]: White Tower (5, 1) --> (5, 0)
Move [129 - Random]: Black King (5, 7) --> (6, 6)
Move [130 - Client]: White Tower (5, 0) --> (6, 0)
Move [131 - Random]: Black King (6, 6) --> (6, 5)
Move [132 - Client]: White Tower (6, 0) --> (6, 1)
Move [133 - Random]: Black King (6, 5) --> (7, 5)
Move [134 - Client]: White Tower (6, 1) --> (7, 1)
Move [135 - Random]: Black Tower (4, 2) --> (6, 2)
Move [136 - Client]: White Tower (7, 1) --> (7, 0)
Move [137 - Random]: Black Tower (6, 2) --> (6, 1)
Move [138 - Client]: White Tower (7, 0) --> (7, 1)
Move [139 - Random]: Black Tower (6, 1) --> (3, 1)
Move [140 - Client]: White Tower (7, 1) --> (7, 0)
Move [141 - Random]: Black King (7, 5) --> (6, 6)
Move [142 - Client]: White Tower (7, 0) --> (6, 0)
Move [143 - Random]: Black King (6, 6) --> (7, 6)
Move [144 - Client]: White Tower (6, 0) --> (7, 0)
Move [145 - Random]: Black King (7, 6) --> (6, 7)
Move [146 - Client]: White Tower (7, 0) --> (6, 0)
Move [147 - Random]: Black Tower (3, 1) --> (4, 1)
Move [148 - Client]: White Tower (6, 0) --> (6, 1)
Move [149 - Random]: Black Tower (4, 1) --> (6, 1) eaten White Tower
Move [150 - Client]: White Horse (2, 5) --> (4, 6)
Move [151 - Random]: Black Tower (6, 1) --> (0, 1)
Move [152 - Client]: White Horse (3, 5) --> (1, 4)
Move [153 - Random]: Black Tower (0, 1) --> (1, 1)
Move [154 - Client]: White Horse (1, 4) --> (0, 6)
Move [155 - Random]: Black King (6, 7) --> (6, 6)
Move [156 - Client]: White Horse (4, 6) --> (5, 4)
Move [157 - Random]: Black King (6, 6) --> (5, 5)
Move [158 - Client]: White Queen (0, 3) --> (2, 5)
Move [159 - Random]: Black King (5, 5) --> (4, 6)
Move [160 - Client]: White Horse (0, 6) --> (2, 7)
Move [161 - Random]: Black King (4, 6) --> (5, 5)
Move [162 - Client]: White Horse (2, 7) --> (0, 6)
Move [163 - Random]: Black Pawn (1, 6) --> (-1, 7)
Move [164 - Client]: White Horse (0, 6) --> (2, 7)
Move [165 - Random]: Black King (5, 5) --> (6, 5)
Move [166 - Client]: White Horse (2, 7) --> (0, 6)
Move [167 - Random]: Black Tower (1, 1) --> (1, 0) eaten White Pawn
Move [168 - Client]: White Horse (0, 6) --> (2, 7)
Move [169 - Random]: Black Queen (0, 7) --> (0, 5)
Move [170 - Client]: White Horse (2, 7) --> (0, 6)
Move [171 - Random]: Black Queen (0, 5) --> (1, 4)
