Move [0 - Client]: White Horse (0, 1) --> (2, 2)
Move [1 - Random]: Black Horse (7, 1) --> (5, 0)
Move [2 - Client]: White Horse (0, 6) --> (2, 5)
Move [3 - Random]: Black Pawn (6, 2) --> (4, 2)
Move [4 - Client]: White Pawn (1, 3) --> (3, 3)
Move [5 - Random]: Black Horse (7, 6) --> (5, 5)
Move [6 - Client]: White Pawn (3, 3) --> (4, 2) eaten Black Pawn
Move [7 - Random]: Black Horse (5, 5) --> (7, 6)
Move [8 - Client]: White Bishop (0, 2) --> (2, 4)
Move [9 - Random]: Black Pawn (6, 4) --> (4, 4)
Move [10 - Client]: White Horse (2, 5) --> (4, 4) eaten Black Pawn
Move [11 - Random]: Black Horse (7, 6) --> (6, 4)
Move [12 - Client]: White Horse (4, 4) --> (6, 5) eaten Black Pawn
Move [13 - Random]: Black Horse (6, 4) --> (7, 6)
Move [14 - Client]: White Horse (6, 5) --> (7, 3) eaten Black Queen
Move [15 - Random]: Black Tower (7, 0) --> (7, 1)
Move [16 - Client]: White Horse (7, 3) --> (6, 1) eaten Black Pawn
Move [17 - Random]: Black Bishop (7, 5) --> (6, 4)
Move [18 - Client]: White Pawn (1, 4) --> (3, 4)
Move [19 - Random]: Black Tower (7, 1) --> (6, 1) eaten White Horse
Move [20 - Client]: White Bishop (0, 5) --> (5, 0) eaten Black Horse
Move [21 - Random]: Black King (7, 4) --> (7, 5)
Move [22 - Client]: White Bishop (5, 0) --> (6, 1) eaten Black Tower
Move [23 - Random]: Black Pawn (6, 3) --> (5, 3)
Move [24 - Client]: White Bishop (6, 1) --> (7, 2) eaten Black Bishop
Move [25 - Random]: Black Pawn (6, 6) --> (4, 6)
Move [26 - Client]: White Pawn (4, 2) --> (5, 3) eaten Black Pawn
Move [27 - Random]: Black King (7, 5) --> (6, 6)
Move [28 - Client]: White Pawn (5, 3) --> (6, 4) eaten Black Bishop
Move [29 - Random]: Black Horse (7, 6) --> (6, 4) eaten White Pawn
Move [30 - Client]: White Bishop (2, 4) --> (4, 6) eaten Black Pawn
Move [31 - Random]: Black Pawn (6, 7) --> (4, 7)
Move [32 - Client]: White Bishop (4, 6) --> (6, 4) eaten Black Horse
Move [33 - Random]: Black King (6, 6) --> (5, 7)
Move [34 - Client]: White Bishop (7, 2) --> (5, 4)
Move [35 - Random]: Black Pawn (6, 0) --> (4, 0)
Move [36 - Client]: White Tower (0, 0) --> (0, 1)
Move [37 - Random]: Black King (5, 7) --> (6, 6)
Move [38 - Client]: White Queen (0, 3) --> (4, 7) eaten Black Pawn
Move [39 - Random]: Black Tower (7, 7) --> (5, 7)
Move [40 - Client]: White Queen (4, 7) --> (4, 0) eaten Black Pawn
Move [41 - Random]: Black King (6, 6) --> (6, 7)
Move [42 - Client]: White Horse (2, 2) --> (4, 3)
Move [43 - Random]: Black Tower (5, 7) --> (3, 7)
Move [44 - Client]: White Bishop (6, 4) --> (3, 7) eaten Black Tower
Move [45 - Random]: Black King (6, 7) --> (5, 7)
Move [46 - Client]: White Bishop (3, 7) --> (2, 6)
Move [47 - Random]: Black King (5, 7) --> (5, 6)
Move [48 - Client]: White Queen (4, 0) --> (4, 2)
Move [49 - Random]: Black King (5, 6) --> (6, 6)
Move [50 - Client]: White King (0, 4) --> (0, 5)
Move [51 - Random]: Black King (6, 6) --> (6, 7)
Move [52 - Client]: White King (0, 5) --> (0, 6)
Move [53 - Random]: Black King (6, 7) --> (5, 7)
Move [54 - Client]: White Pawn (3, 4) --> (4, 4)
Move [55 - Random]: Black King (5, 7) --> (4, 6)
Move [56 - Client]: White Tower (0, 1) --> (0, 2)
Move [57 - Random]: Black King (4, 6) --> (5, 7)
Move [58 - Client]: White Tower (0, 2) --> (0, 1)
Move [59 - Random]: Black King (5, 7) --> (6, 7)
Move [60 - Client]: White Tower (0, 1) --> (0, 2)
Move [61 - Random]: Black King (6, 7) --> (6, 6)
Move [62 - Client]: White Tower (0, 2) --> (0, 1)
Move [63 - Random]: Black King (6, 6) --> (6, 5)
Move [64 - Client]: White Bishop (5, 4) --> (4, 5)
Move [65 - Random]: Black King (6, 5) --> (7, 6)
Move [66 - Client]: White Bishop (4, 5) --> (3, 4)
Move [67 - Random]: Black King (7, 6) --> (7, 7)
Move [68 - Client]: White Pawn (4, 4) --> (5, 4)
