Move [0 - Client]: White Horse (0, 1) --> (2, 2)
Move [1 - Random]: Black Pawn (6, 6) --> (4, 6)
Move [2 - Client]: White Horse (0, 6) --> (2, 5)
Move [3 - Random]: Black Horse (7, 1) --> (5, 0)
Move [4 - Client]: White Horse (2, 5) --> (4, 6) eaten Black Pawn
Move [5 - Random]: Black Pawn (6, 3) --> (4, 3)
Move [6 - Client]: White Horse (2, 2) --> (4, 3) eaten Black Pawn
Move [7 - Random]: Black Horse (5, 0) --> (4, 2)
Move [8 - Client]: White Horse (4, 6) --> (6, 5) eaten Black Pawn
Move [9 - Random]: Black Pawn (6, 4) --> (5, 4)
Move [10 - Client]: White Horse (6, 5) --> (7, 3) eaten Black Queen
Move [11 - Random]: Black King (7, 4) --> (7, 3) eaten White Horse
Move [12 - Client]: White Horse (4, 3) --> (6, 2) eaten Black Pawn
Move [13 - Random]: Black Horse (7, 6) --> (6, 4)
Move [14 - Client]: White Horse (6, 2) --> (7, 0) eaten Black Tower
Move [15 - Random]: Black Horse (4, 2) --> (2, 3)
Move [16 - Client]: White Pawn (1, 4) --> (2, 3) eaten Black Horse
Move [17 - Random]: Black Pawn (6, 1) --> (5, 1)
Move [18 - Client]: White Horse (7, 0) --> (5, 1) eaten Black Pawn
Move [19 - Random]: Black Tower (7, 7) --> (7, 6)
Move [20 - Client]: White Horse (5, 1) --> (7, 2) eaten Black Bishop
Move [21 - Random]: Black Tower (7, 6) --> (4, 6)
Move [22 - Client]: White Horse (7, 2) --> (6, 4) eaten Black Horse
Move [23 - Random]: Black Tower (4, 6) --> (4, 2)
Move [24 - Client]: White Pawn (1, 3) --> (3, 3)
Move [25 - Random]: Black King (7, 3) --> (6, 2)
Move [26 - Client]: White Pawn (3, 3) --> (4, 2) eaten Black Tower
Move [27 - Random]: Black King (6, 2) --> (7, 1)
Move [28 - Client]: White Bishop (0, 2) --> (2, 4)
Move [29 - Random]: Black King (7, 1) --> (7, 0)
Move [30 - Client]: White Bishop (0, 5) --> (1, 4)
Move [31 - Random]: Black Bishop (7, 5) --> (6, 4) eaten White Horse
Move [32 - Client]: White King (0, 4) --> (1, 3)
Move [33 - Random]: Black Bishop (6, 4) --> (5, 3)
Move [34 - Client]: White Pawn (4, 2) --> (5, 3) eaten Black Bishop
Move [35 - Random]: Black Pawn (5, 4) --> (4, 4)
Move [36 - Client]: White Bishop (2, 4) --> (6, 0) eaten Black Pawn
Move [37 - Random]: Black Pawn (6, 7) --> (6, 0) eaten White Bishop
Move [38 - Client]: White King (1, 3) --> (2, 4)
Move [39 - Random]: Black King (7, 0) --> (7, 1)
Move [40 - Client]: White Pawn (2, 3) --> (3, 3)
Move [41 - Random]: Black Pawn (6, 0) --> (5, 0)
Move [42 - Client]: White Pawn (3, 3) --> (4, 4) eaten Black Pawn
Move [43 - Random]: Black King (7, 1) --> (6, 0)
Move [44 - Client]: White Bishop (1, 4) --> (5, 0) eaten Black Pawn
Move [45 - Random]: Black King (6, 0) --> (7, 1)
Move [46 - Client]: White Bishop (5, 0) --> (3, 2)
Move [47 - Random]: Black King (7, 1) --> (6, 2)
Move [48 - Client]: White Pawn (5, 3) --> (6, 3)
Move [49 - Random]: Black King (6, 2) --> (5, 1)
Move [50 - Client]: White Pawn (6, 3) --> (-1, 7)
Move [51 - Random]: Black King (5, 1) --> (4, 0)
Move [52 - Client]: White Tower (0, 0) --> (0, 1)
Move [53 - Random]: Black King (4, 0) --> (4, 1)
Move [54 - Client]: White Bishop (3, 2) --> (4, 3)
Move [55 - Random]: Black King (4, 1) --> (3, 0)
Move [56 - Client]: White Pawn (1, 7) --> (2, 7)
Move [57 - Random]: Black King (3, 0) --> (2, 0)
Move [58 - Client]: White Pawn (1, 1) --> (3, 1)
Move [59 - Random]: Black King (2, 0) --> (3, 0)
Move [60 - Client]: White Tower (0, 1) --> (2, 1)
Move [61 - Random]: Black King (3, 0) --> (3, 1) eaten White Pawn
Move [62 - Client]: White Tower (2, 1) --> (2, 2)
Move [63 - Random]: Black King (3, 1) --> (4, 2)
Move [64 - Client]: White Tower (2, 2) --> (2, 1)
Move [65 - Random]: Black King (4, 2) --> (4, 1)
Move [66 - Client]: White Tower (2, 1) --> (2, 2)
Move [67 - Random]: Black King (4, 1) --> (3, 2)
Timeout by 0 - Client: White. Player 1 - Random: Black wins. Game finished. 
